Name,SKU,Description,Rate
1/4 Hemp Flower - Frosted Lime,689466906523,,20
1/4 Hemp Flower - Gold,689466906523-1,,20
1/8 Hemp Flower - Frosted Lime,689466906516,,10
1/8 Hemp Flower - Gold,689466906516-1,,10
1200 mg Pinnacle CBD Liquid,689466906158,1200mg Full Spectrum CBD 30ml bottle,55
150 mg Pinnacle CBD Liquid,689466906110,150mg Full Spectrum CBD 15ml bottle,12.5
300 mg Pinnacle CBD Liquid,689466906127,300mg Full Spectrum CBD 15ml bottle,22.5
450 mg Pinnacle CBD Liquid,689466906134,450mg Full Spectrum CBD 15ml bottle,30
5ml 100mg SAMPLE BOTTLE,sample100mg,,3
600 mg Pinnacle CBD Liquid,689466906141,600mg Full Spectrum CBD 30ml bottle,37.5
Beard Oil Bush Lover,689466906172,Beard Oil 120mg CBD,15
Beard Oil Sex Panther,689466906189,Beard Oil 120mg CBD,15
Beard Oil The Bulge,689466906196,Beard Oil 120mg CBD,15
Capsules 30 ct 300mg,689466906240,,25
Capsules 60 ct 600mg,689466906257,,42.5
Cart BD Vape Cartridge 500mg Blue Dream,689466906431,Gold vape cartridge tank. 1ml 500mg full spectrum cbd with added terpenes. 3 different types of terpenes.,40
Cart GDP Vape Cartridge 500mg Grand Daddy Purple,689466906479,Gold vape cartridge tank. 1ml 500mg full spectrum cbd with added terpenes. 3 different types of terpenes.,40
Cart TW Vape Cartridge 500mg Train Wreck,689466906462,Gold vape cartridge tank. 1ml 500mg full spectrum cbd with added terpenes. 3 different types of terpenes.,40
Coffee 160 mg CBD Ground,689466906219,,17.5
Coffee Tumbler mug,,,8
Crumble Full Spectrum 400mg 1 gram,689466906424,,27.5
D'nish Hallowed Bean 300mg 60ml,700256111412,300mg 60ml Pumpkin Spice latte,25
D'nish Oasis 300mg 60ml,700256111399,300mg 60ml D'nish Oasis,25
D'nish Thai Dreams 300mg 60ml,700256111405,300mg 60ml D'nish Thai Dreams,25
